"","id","faminc","incmiss","black","hisp","afqtpct","momcoll","dadcoll","female","f_dead","attend.college"
"1248",3282,5.433539,1,0,1,56.14651,0,1,0,0,1
"1250",3285,5.177845,1,0,1,14.24988,1,0,1,0,0
"1251",3287,2.273267,0,0,0,29.20221,0,0,1,0,0
"1253",3295,5.015534,0,0,0,94.27998,0,0,1,0,1
"1254",3304,5.599632,1,0,1,74.93728,1,1,1,0,1
"1256",3312,3.202066,0,1,0,12.46864,1,0,1,0,1
"1257",3323,0.6404132,0,1,0,34.04416,0,0,0,0,0
"1258",3329,5.224514,0,0,0,83.19117,0,0,0,0,0
"1260",3337,9.487603,0,0,0,93.77822,0,0,1,0,1
"1261",3339,4.743802,0,0,0,70.572,0,0,1,0,1
"1262",3341,4.269422,0,0,0,44.15454,0,0,1,1,1
"1264",3349,7.590083,0,0,0,16.50778,0,0,1,0,1
"1265",3350,6.630363,0,0,0,53.71299,0,0,1,1,1
"1266",3352,7.31432,0,0,0,82.51379,0,0,1,0,1
"1267",3353,6.269418,0,0,0,23.15605,1,1,0,0,0
"1268",3354,6.269418,0,0,0,46.86403,1,1,0,0,0
"1271",3361,5.177845,1,0,0,73.55745,0,1,0,0,1
"1274",3367,5.599632,1,0,0,90.1154,0,1,1,0,1
"1277",3374,6.269418,0,0,0,42.95033,0,0,0,0,0
"1278",3377,6.269418,0,0,0,77.1701,0,0,1,0,1
"1279",3379,3.031023,0,0,0,88.78575,0,0,0,0,1
"1280",3381,9.404126,0,0,0,82.7145,0,0,0,0,0
"1281",3382,5.683168,0,0,0,71.24937,0,0,0,1,1
"1282",3384,7.941263,0,0,0,73.90868,0,1,1,1,1
"1283",3385,7.766997,0,0,0,84.21977,0,0,0,0,1
"1284",3388,6.630363,0,1,0,90.29102,1,1,0,1,1
"1286",3395,2.545175,0,0,0,67.13497,0,0,0,0,1
"1287",3396,5.224514,0,0,0,91.06874,0,0,0,0,0
"1288",3397,5.30429,0,0,0,53.6879,0,0,1,0,0
"1289",3401,7.827273,0,0,0,59.28249,0,0,0,0,0
"1290",3404,6.269418,0,0,0,94.25489,0,0,0,0,1
"1292",3406,5.114851,0,0,0,77.72202,0,1,1,0,1
"1293",3409,6.269418,0,0,0,71.1992,0,0,1,0,1
