iduser,pop57,edfa57q,edmo57q,sesp57,hsdm57,hsrankq,tchevl,gwiiq_bm,relfml,milty,mlentr,mx014rer,mx015rer,iduser0,sexrsp,packyears,edfa57qmis,edmo57qmis,sesp57mis,hsrankqmis
192019,6,10,16,3,3,46,0,89,43,0,-2,0,0,1,,0,0,0,0,0
192020,6,12,7,3,3,33,0,106,1,1,2,15,1,1,,15,0,0,0,0
192023,6,7,7,4,3,7,0,92,1,0,-2,0,0,1,,0,0,0,0,0
192024,6,10,12,3,3,74,0,112,39,0,-2,25,1,1,,25,0,0,0,0
192025,6,7,7,3,3,34,0,102,39,1,2,0,0,1,,0,0,0,0,0
192028,6,10,14,3,3,91,1,125,1,0,-2,0,0,1,,0,0,0,0,0
192032,6,10,10,3,3,35,0,79,1,0,-2,32,1,1,,32,0,0,0,0
192037,6,13,12,-3,3,66,0,96,96,0,-2,0,0,1,,0,0,0,1,0
192039,6,12,12,4,3,54,0,118,39,1,2,40,1,1,,40,0,0,0,0
192041,6,16,12,3,3,61,0,106,1,1,2,35,1,1,,35,0,0,0,0
192042,6,7,12,3,3,76,0,99,39,1,2,0,0,1,,0,0,0,0,0
192043,6,-1,-1,3,3,49,0,96,1,1,1,0,0,1,,0,1,1,0,0
192044,6,12,7,2,3,12,0,111,1,1,2,0,0,1,,0,0,0,0,0
192046,6,14,12,4,3,83,0,99,39,0,-2,0,0,1,,0,0,0,0,0
192052,6,7,10,3,3,87,0,109,42,0,-2,2,1,1,,2,0,0,0,0
192055,6,12,12,3,3,87,0,120,1,0,-2,0,0,1,,0,0,0,0,0
192057,6,7,10,3,3,61,0,94,1,1,2,0,0,1,,0,0,0,0,0
192064,6,7,12,3,3,15,0,88,1,0,-2,34,2,1,,68,0,0,0,0
192065,6,16,12,4,3,82,0,99,39,0,-2,0,0,1,,0,0,0,0,0
192067,6,16,14,4,3,88,1,121,1,0,-2,18,2,1,,36,0,0,0,0
192075,6,12,12,4,3,36,0,99,1,0,-2,0,0,1,,0,0,0,0,0
192077,6,10,12,3,3,20,0,89,1,1,2,25,1,1,,25,0,0,0,0
192079,6,7,12,1,3,0,0,89,39,0,-2,30,2,1,,60,0,0,0,0
